"Subject" "Group" "Activity" "Mean" "SD"
"17" "Train" "Walking" -0.387039462708526 0.0119063897857969
"19" "Train" "Walking" -0.238252786596887 0.058133303079232
"21" "Train" "Walking" -0.330648706245588 0.0284763929605717
"22" "Train" "Walking" -0.274200987116311 0.0214583870873249
"23" "Train" "Walking" -0.265296718829829 0.0427927939332597
"25" "Train" "Walking" -0.460842122215599 0.0154213335348776
"26" "Train" "Walking" -0.392008755561813 0.0196188228248621
"27" "Train" "Walking" -0.377771272094104 0.016084779050379
"28" "Train" "Walking" -0.393787255237739 0.0295998409891432
"29" "Train" "Walking" -0.352894943404783 0.0209134950885459
"30" "Train" "Walking" -0.373607524126774 0.029250753959999
"1" "Train" "Walking Upstairs" -0.40699661814598 0.0186015508282577
"3" "Train" "Walking Upstairs" -0.424274671811149 0.0255377450055161
"5" "Train" "Walking Upstairs" -0.356353464901252 0.0205569356891237
"6" "Train" "Walking Upstairs" -0.330642340129316 0.0424081876126512
"7" "Train" "Walking Upstairs" -0.427408293255387 0.0196986089450306
"8" "Train" "Walking Upstairs" -0.293377815632218 0.0303192574670836
"11" "Train" "Walking Upstairs" -0.43527506672087 0.0134009729818175
"14" "Train" "Walking Upstairs" -0.285486358859423 0.0407322109005271
"15" "Train" "Walking Upstairs" -0.393720911542089 0.0232630755850154
"16" "Train" "Walking Upstairs" -0.440146451770759 0.0203645581727785
"17" "Train" "Walking Upstairs" -0.401431355861112 0.0228531891775645
"19" "Train" "Walking Upstairs" -0.316821118319495 0.0511549919971628
"21" "Train" "Walking Upstairs" -0.381967006088137 0.0305668605235761
"22" "Train" "Walking Upstairs" -0.305185521541175 0.0288822607279348
"23" "Train" "Walking Upstairs" -0.369581312588007 0.0237000654829804
"25" "Train" "Walking Upstairs" -0.48551223324769 0.0204416022448911
"26" "Train" "Walking Upstairs" -0.41167278243368 0.020408178911153
"27" "Train" "Walking Upstairs" -0.426267052017458 0.0127289907512245
"28" "Train" "Walking Upstairs" -0.401092965937606 0.024567858909016
"29" "Train" "Walking Upstairs" -0.364429747315138 0.0249717639460187
"30" "Train" "Walking Upstairs" -0.439370730188029 0.037211195280825
"1" "Train" "Walking Downstairs" -0.297226292824001 0.0383850654807414
"3" "Train" "Walking Downstairs" -0.350536138554404 0.0545089961161192
"5" "Train" "Walking Downstairs" -0.296901580091929 0.0357995815528852
"6" "Train" "Walking Downstairs" -0.198922424840441 0.0716579416048824
"7" "Train" "Walking Downstairs" -0.317129508211319 0.0534848859069221
"8" "Train" "Walking Downstairs" -0.19351985419359 0.0549789677414782
"11" "Train" "Walking Downstairs" -0.348717448293558 0.0250316693541485
"14" "Train" "Walking Downstairs" -0.203378373864087 0.0756963794870015
"15" "Train" "Walking Downstairs" -0.280227328116279 0.0373749368158013
"16" "Train" "Walking Downstairs" -0.339080301791712 0.0307416482945973
"17" "Train" "Walking Downstairs" -0.365194496888334 0.036157468372346
"19" "Train" "Walking Downstairs" -0.078306398113335 0.126706085780501
"21" "Train" "Walking Downstairs" -0.291301975673511 0.0308686372020737
"22" "Train" "Walking Downstairs" -0.287664837258693 0.0149082159732088
"23" "Train" "Walking Downstairs" -0.20246554081645 0.0576668630852304
"25" "Train" "Walking Downstairs" -0.429924410531157 0.0267645307637693
"26" "Train" "Walking Downstairs" -0.322473123490661 0.0353407421665845
"27" "Train" "Walking Downstairs" -0.312446129792811 0.0378146260751432
"28" "Train" "Walking Downstairs" -0.291650876955502 0.0520905203158529
"29" "Train" "Walking Downstairs" -0.31726279115201 0.0301438656583547
"30" "Train" "Walking Downstairs" -0.358790607945901 0.0499779497667822
"1" "Train" "Sitting" -0.633405230612481 0.027425722643127
"3" "Train" "Sitting" -0.622780836987975 0.038844226402608
"5" "Train" "Sitting" -0.627014833570021 0.0203549359889247
"6" "Train" "Sitting" -0.625412957710496 0.0208119745035816
"7" "Train" "Sitting" -0.628833138374792 0.0341119845252268
"8" "Train" "Sitting" -0.637726458982249 0.0254521567607838
"11" "Train" "Sitting" -0.636081608692102 0.0197625039129968
"14" "Train" "Sitting" -0.639930771868791 0.0264785638324902
"15" "Train" "Sitting" -0.641496217339585 0.0232002508819093
"16" "Train" "Sitting" -0.642254023210701 0.0258239438239606
"17" "Train" "Sitting" -0.643707360983648 0.0140284219564131
"19" "Train" "Sitting" -0.638986666530727 0.0154944364051437
"21" "Train" "Sitting" -0.644724493205524 0.0152328688124463
"22" "Train" "Sitting" -0.634015600138589 0.0251031606738795
"23" "Train" "Sitting" -0.632843540612456 0.022856232957163
"25" "Train" "Sitting" -0.645307467575153 0.017533950906513
"26" "Train" "Sitting" -0.642718508921569 0.0238506468776616
"27" "Train" "Sitting" -0.647329814034974 0.0142597257324509
"28" "Train" "Sitting" -0.637322526513564 0.0160201830933569
"29" "Train" "Sitting" -0.644100724926612 0.0146140303462928
"30" "Train" "Sitting" -0.646017901904583 0.0209173560499909
"1" "Train" "Standing" -0.647424789141436 0.0121535632454832
"3" "Train" "Standing" -0.626824657789309 0.0257927147466145
"5" "Train" "Standing" -0.618821537531601 0.0322629370938103
"6" "Train" "Standing" -0.629253160586122 0.0226587407772356
"7" "Train" "Standing" -0.63369010626409 0.0188258000202168
"8" "Train" "Standing" -0.639463722621354 0.0306734532079862
"11" "Train" "Standing" -0.648374467923916 0.00965879647537201
"14" "Train" "Standing" -0.633771114374627 0.0241937688917256
"15" "Train" "Standing" -0.640037091389994 0.0187132899890266
"16" "Train" "Standing" -0.646538416475197 0.0153817551373959
"17" "Train" "Standing" -0.644675070329398 0.0145034797462261
"19" "Train" "Standing" -0.640136697217531 0.0169202777482229
"21" "Train" "Standing" -0.638450214241584 0.0245287647439489
"22" "Train" "Standing" -0.635992094486953 0.0217320896123565
"23" "Train" "Standing" -0.637024168810267 0.0136771868820768
"25" "Train" "Standing" -0.645297950751058 0.0195549841274646
"26" "Train" "Standing" -0.644004547265191 0.0156018640410219
"27" "Train" "Standing" -0.644356212162637 0.0156944867021926
"28" "Train" "Standing" -0.627883524309929 0.0233838923070972
"29" "Train" "Standing" -0.650245278868483 0.00909134028099609
"30" "Train" "Standing" -0.630635453342216 0.0258125414914077
"1" "Train" "Laying" -0.607522391836014 0.0685333462995928
"3" "Train" "Laying" -0.641445804875381 0.0180845915206712
"5" "Train" "Laying" -0.631793505517319 0.0177948496033486
"6" "Train" "Laying" -0.619421431071453 0.0425071611188103
"7" "Train" "Laying" -0.628303269447471 0.0314996699938908
"8" "Train" "Laying" -0.627089533537997 0.0380690385659953
"11" "Train" "Laying" -0.643553031373099 0.023981413059349
"14" "Train" "Laying" -0.628355645282404 0.0472350335239574
"15" "Train" "Laying" -0.639883147448173 0.0267949800043362
"16" "Train" "Laying" -0.635906117499551 0.0150486291385824
"17" "Train" "Laying" -0.629876420657766 0.0188640990585424
"19" "Train" "Laying" -0.632999218754884 0.017518958806727
"21" "Train" "Laying" -0.63110876443376 0.0205001262178846
"22" "Train" "Laying" -0.632109081483277 0.0367115823535618
"23" "Train" "Laying" -0.628089473591726 0.0133828364148392
"25" "Train" "Laying" -0.589506698496036 0.0466820374242257
"26" "Train" "Laying" -0.640679888089531 0.0189815678601131
"27" "Train" "Laying" -0.645993647892745 0.0132700341831179
"28" "Train" "Laying" -0.640518710327799 0.0246444688817263
"29" "Train" "Laying" -0.646324698842316 0.0134107274536637
"30" "Train" "Laying" -0.642625296795821 0.0206159294448288
